Continuous Case:
Configuration:
pho = 0.1
diff_thresold = 1e-5
train_error_threshold = 1e-5
iter:417  diff:0.00035738 train_error:0.66280881 test_error:0.82433556
iter:418  diff:0.00036146 train_error:0.66269495 test_error:0.82429893
iter:419  diff:0.00036497 train_error:0.66258118 test_error:0.82426202
iter:420  diff:0.00036765 train_error:0.66246756 test_error:0.82422465
iter:421  diff:0.00036927 train_error:0.66235415 test_error:0.82418667
iter:422  diff:0.00036964 train_error:0.66224101 test_error:0.82414795
iter:423  diff:0.00036864 train_error:0.66212818 test_error:0.82410835
iter:424  diff:0.00036623 train_error:0.66201572 test_error:0.82406781
iter:425  diff:0.00036245 train_error:0.66190368 test_error:0.82402626
iter:426  diff:0.00035740 train_error:0.66179210 test_error:0.82398367
iter:427  diff:0.00035124 train_error:0.66168100 test_error:0.82394006
iter:428  diff:0.00034420 train_error:0.66157041 test_error:0.82389544
iter:429  diff:0.00033653 train_error:0.66146036 test_error:0.82384985
iter:430  diff:0.00032847 train_error:0.66135085 test_error:0.82380336
iter:431  diff:0.00032030 train_error:0.66124190 test_error:0.82375603
iter:432  diff:0.00031225 train_error:0.66113351 test_error:0.82370793
iter:433  diff:0.00030454 train_error:0.66102567 test_error:0.82365912
iter:434  diff:0.00029736 train_error:0.66091838 test_error:0.82360968
iter:435  diff:0.00029088 train_error:0.66081161 test_error:0.82355966
iter:436  diff:0.00028522 train_error:0.66070535 test_error:0.82350912
iter:437  diff:0.00028049 train_error:0.66059958 test_error:0.82345809
iter:438  diff:0.00027676 train_error:0.66049426 test_error:0.82340664
iter:439  diff:0.00027411 train_error:0.66038936 test_error:0.82335477
iter:440  diff:0.00027257 train_error:0.66028484 test_error:0.82330253
iter:441  diff:0.00027217 train_error:0.66018065 test_error:0.82324993
iter:442  diff:0.00027294 train_error:0.66007675 test_error:0.82319698
iter:443  diff:0.00027489 train_error:0.65997308 test_error:0.82314371
iter:444  diff:0.00027802 train_error:0.65986960 test_error:0.82309013
iter:445  diff:0.00028233 train_error:0.65976625 test_error:0.82303624
iter:446  diff:0.00028781 train_error:0.65966296 test_error:0.82298205
iter:447  diff:0.00029444 train_error:0.65955970 test_error:0.82292760
iter:448  diff:0.00030215 train_error:0.65945640 test_error:0.82287289
iter:449  diff:0.00031089 train_error:0.65935303 test_error:0.82281795
iter:450  diff:0.00032053 train_error:0.65924953 test_error:0.82276281
iter:451  diff:0.00033094 train_error:0.65914588 test_error:0.82270751
iter:452  diff:0.00034192 train_error:0.65904206 test_error:0.82265209
iter:453  diff:0.00035323 train_error:0.65893806 test_error:0.82259660
iter:454  diff:0.00036457 train_error:0.65883387 test_error:0.82254109
iter:455  diff:0.00037558 train_error:0.65872952 test_error:0.82248562
iter:456  diff:0.00038591 train_error:0.65862501 test_error:0.82243023
iter:457  diff:0.00039515 train_error:0.65852039 test_error:0.82237498
iter:458  diff:0.00040295 train_error:0.65841567 test_error:0.82231993
iter:459  diff:0.00040896 train_error:0.65831090 test_error:0.82226511
iter:460  diff:0.00041295 train_error:0.65820610 test_error:0.82221058
iter:461  diff:0.00041478 train_error:0.65810130 test_error:0.82215638
iter:462  diff:0.00041444 train_error:0.65799651 test_error:0.82210255
iter:463  diff:0.00041205 train_error:0.65789175 test_error:0.82204915
iter:464  diff:0.00040785 train_error:0.65778702 test_error:0.82199623
iter:465  diff:0.00040216 train_error:0.65768230 test_error:0.82194382
iter:466  diff:0.00039538 train_error:0.65757760 test_error:0.82189199
iter:467  diff:0.00038796 train_error:0.65747289 test_error:0.82184076
iter:468  diff:0.00038032 train_error:0.65736815 test_error:0.82179019
iter:469  diff:0.00037286 train_error:0.65726333 test_error:0.82174029
iter:470  diff:0.00036596 train_error:0.65715841 test_error:0.82169109
iter:471  diff:0.00035990 train_error:0.65705335 test_error:0.82164258
iter:472  diff:0.00035493 train_error:0.65694810 test_error:0.82159476
iter:473  diff:0.00035122 train_error:0.65684262 test_error:0.82154761
iter:474  diff:0.00034888 train_error:0.65673685 test_error:0.82150108
iter:475  diff:0.00034795 train_error:0.65663074 test_error:0.82145512
iter:476  diff:0.00034846 train_error:0.65652424 test_error:0.82140966
iter:477  diff:0.00035037 train_error:0.65641728 test_error:0.82136462
iter:478  diff:0.00035365 train_error:0.65630979 test_error:0.82131990
iter:479  diff:0.00035822 train_error:0.65620170 test_error:0.82127541
iter:480  diff:0.00036401 train_error:0.65609292 test_error:0.82123102
iter:481  diff:0.00037093 train_error:0.65598334 test_error:0.82118661
iter:482  diff:0.00037893 train_error:0.65587286 test_error:0.82114206
iter:483  diff:0.00038796 train_error:0.65576132 test_error:0.82109724
iter:484  diff:0.00039798 train_error:0.65564854 test_error:0.82105202
iter:485  diff:0.00040903 train_error:0.65553429 test_error:0.82100632
iter:486  diff:0.00042118 train_error:0.65541828 test_error:0.82096003
iter:487  diff:0.00043456 train_error:0.65530014 test_error:0.82091312
iter:488  diff:0.00044941 train_error:0.65517940 test_error:0.82086559
iter:489  diff:0.00046607 train_error:0.65505549 test_error:0.82081754
iter:490  diff:0.00048499 train_error:0.65492766 test_error:0.82076915
iter:491  diff:0.00050680 train_error:0.65479501 test_error:0.82072072
iter:492  diff:0.00053228 train_error:0.65465647 test_error:0.82067274
iter:493  diff:0.00056241 train_error:0.65451080 test_error:0.82062588
iter:494  diff:0.00059839 train_error:0.65435666 test_error:0.82058102
iter:495  diff:0.00064165 train_error:0.65419280 test_error:0.82053923
iter:496  diff:0.00069383 train_error:0.65401829 test_error:0.82050169
iter:497  diff:0.00075669 train_error:0.65383293 test_error:0.82046953
iter:498  diff:0.00083176 train_error:0.65363763 test_error:0.82044355
iter:499  diff:0.00091966 train_error:0.65343464 test_error:0.82042380
iter:500  diff:0.00101887 train_error:0.65322738 test_error:0.82040934
 Iter  FuncEvals       F(X)          ||G(X)||/N        
------ --------- ---------------- ----------------
     0         1   73277.16634740       0.00860311
     1         6   73272.24996508       0.10541439
     2        13   73271.43503582       0.17903455
     3        22   72999.37012893       4.90286812
     4        34   72998.61774636       5.08928613
     5        43   71942.55325691      11.35424119
     6        53   71464.08934267      14.35803104
     7        62   67614.90284353      16.57983694
     8        70   60630.75311276      18.24332937
     9        78   47744.86903258      16.37510131
    10        86   30560.65751324      21.07613007
    11        95   22105.40581985       9.58121959
    12       103   19203.63761038       7.61814007
    13       110   17866.96428781       5.71953382
    14       118   16452.44316653       4.98370405
    15       125   15770.94064825       4.21946742
    16       132   15144.35943941       2.51702349
    17       139   14915.89946369       2.87519666
    18       146   14564.97066479       2.98816875
    19       153   14075.97627729       2.97259051
    20       161   13774.77022677       2.87025024
    21       167   13565.87749355       2.53131008
    22       174   13224.72826153       2.39032867
    23       181   13024.11153917       1.55134399
    24       187   12959.43255376       1.23415432
    25       193   12874.54042835       1.00749395
    26       199   12817.28130203       0.88341440
    27       205   12793.09114264       0.72349077
    28       210   12772.42927138       0.68333744
    29       216   12737.70422230       1.12335508
    30       223   12682.17855462       0.76768214
    31       229   12646.85798835       0.83999640
    32       235   12612.95448094       0.82744029
    33       241   12593.50833261       0.56383304
    34       247   12568.96484760       0.49223596
    35       253   12559.63325972       0.48620406
    36       259   12549.43401142       0.42145930
    37       265   12540.26524048       0.39305340
    38       271   12532.10873308       0.40149072
    39       277   12524.10382232       0.49479561
    40       283   12510.09537247       0.47587911
    41       288   12503.41509564       0.39656806
    42       294   12498.85082627       0.25451159
    43       299   12494.31721225       0.23790422
    44       304   12489.59248524       0.28158603
    45       309   12486.95640695       0.27965543
    46       315   12482.03940281       0.33590450
    47       321   12471.68652811       0.34752616
    48       327   12463.36097466       0.51653531
    49       334   12456.47861538       0.27436809
    50       340   12451.19477352       0.27726828
    51       346   12447.77413321       0.27802316
    52       352   12445.80774179       0.18186025
    53       357   12444.05584250       0.15791858
    54       361   12442.28557509       0.18375117
    55       366   12441.42947268       0.14180634
    56       371   12440.16955186       0.15062569
    57       376   12438.30355661       0.16317023
    58       381   12437.51753528       0.15935173
    59       386   12436.19836313       0.10769859
    60       391   12435.26341441       0.13100956
    61       395   12434.96593971       0.08093316
    62       399   12434.66345839       0.11263311
    63       404   12434.30251817       0.11074719
    64       408   12433.91308585       0.06516435
    65       412   12433.70876485       0.07841367
    66       416   12433.56340486       0.05434531
    67       420   12433.42126046       0.04403012
    68       424   12433.35882726       0.05188213
    69       428   12433.23666764       0.04533798
    70       432   12433.09520344       0.07085535
    71       436   12432.96428646       0.05662964
    72       440   12432.70021377       0.07157248
    73       445   12432.55807257       0.07056145
    74       450   12432.35770162       0.05024888
    75       454   12432.23303583       0.06355714
    76       459   12432.12732524       0.04798647
    77       463   12432.00616003       0.03846148
    78       467   12431.96546089       0.04026056
    79       471   12431.88104896       0.03641656
    80       475   12431.81223190       0.04344651
    81       478   12431.78661721       0.01743537
    82       481   12431.75094509       0.03485885
    83       485   12431.72275208       0.02690937
    84       489   12431.67661321       0.02620399
    85       493   12431.62877314       0.02953795
    86       497   12431.60847072       0.02324135
    87       501   12431.57307172       0.02209449
    88       504   12431.54361931       0.02446383
    89       508   12431.52724619       0.02120491
    90       512   12431.50900150       0.01301017
    91       515   12431.49725234       0.01507996
nfold: 4 rank: 1
iter:1  diff:0.00005522 train_error:5629.18919297 test_error:2783.21038269
iter:2  diff:14.29989730 train_error:6.55806690 test_error:5.16580064
iter:3  diff:0.77620380 train_error:9.46455469 test_error:4.60913907
iter:4  diff:1.19318181 train_error:2322.17697067 test_error:70.67387702
iter:5  diff:1.95358379 train_error:2153310.67072981 test_error:124777.79540766
iter:6  diff:0.60367119 train_error:37484492.04178716 test_error:2216515.77886220
iter:7  diff:1.71687107 train_error:253830600.49241453 test_error:15078638.23810590
iter:8  diff:14.77873632 train_error:1479734113.12850165 test_error:88911774.60356241
iter:9  diff:33.86103990 train_error:3802147256.87048960 test_error:232395097.74916291
iter:10  diff:19.39756611 train_error:4114121636.14079237 test_error:254268957.29217833
iter:11  diff:2.64429432 train_error:3311149942.01023436 test_error:205595282.85012120
iter:12  diff:0.30449139 train_error:2602858513.95514870 test_error:161955603.43436041
iter:13  diff:0.13369553 train_error:2105790817.76954389 test_error:131167502.59856778
iter:14  diff:0.13825499 train_error:1770308986.32411194 test_error:110329905.22742772
iter:15  diff:0.13220313 train_error:1546016805.91320872 test_error:96368825.12983650
iter:16  diff:0.11221503 train_error:1397196734.04535198 test_error:87083774.74553248
iter:17  diff:0.08868711 train_error:1299812948.01387620 test_error:80990574.62697636
iter:18  diff:0.06864792 train_error:1237274785.46022558 test_error:77068090.13782188
iter:19  diff:0.05576441 train_error:1197617824.44431663 test_error:74582525.83745965
iter:20  diff:0.04941054 train_error:1172150668.53964305 test_error:72998039.36500005
iter:21  diff:0.04489576 train_error:1154803018.42008758 test_error:71934859.90451421
iter:22  diff:0.03901219 train_error:1141652487.80913687 test_error:71143490.70148182
iter:23  diff:0.03245360 train_error:1130429184.79956961 test_error:70477368.57993399
iter:24  diff:0.02690409 train_error:1119985211.55288839 test_error:69861183.04075837
iter:25  diff:0.02302010 train_error:1109838369.02624536 test_error:69262514.25634159
iter:26  diff:0.02055681 train_error:1099854358.85673022 test_error:68671691.91088159
iter:27  diff:0.01899691 train_error:1090055942.37760401 test_error:68089539.15901089
iter:28  diff:0.01790341 train_error:1080520300.97632623 test_error:67520694.11720231
iter:29  diff:0.01700394 train_error:1071329551.56363428 test_error:66970333.69813074
iter:30  diff:0.01616039 train_error:1062550484.17486823 test_error:66442789.89795788
iter:31  diff:0.01531730 train_error:1054229079.90196061 test_error:65941137.20555718
iter:32  diff:0.01446167 train_error:1046391723.68271244 test_error:65467230.06270467
iter:33  diff:0.01359865 train_error:1039048866.69605625 test_error:65021913.80466262
iter:34  diff:0.01273900 train_error:1032199071.28224969 test_error:64605272.58029621
iter:35  diff:0.01189345 train_error:1025832539.89556324 test_error:64216853.64150242
iter:36  diff:0.01107059 train_error:1019933818.99090588 test_error:63855845.95208678
iter:37  diff:0.01027643 train_error:1014483647.19656205 test_error:63521209.13124385
iter:38  diff:0.00951450 train_error:1009460047.81627870 test_error:63211756.61516169
iter:39  diff:0.00878615 train_error:1004838843.58160186 test_error:62926200.79093972
iter:40  diff:0.00809106 train_error:1000593840.17629814 test_error:62663171.08422579
iter:41  diff:0.00742778 train_error:996696980.99092221 test_error:62421219.40846272
iter:42  diff:0.00679439 train_error:993118776.01659048 test_error:62198829.41308989
iter:43  diff:0.00618933 train_error:989829201.27937615 test_error:61994443.56560851
iter:44  diff:0.00561217 train_error:986799045.76094568 test_error:61806513.37079626
iter:45  diff:0.00506405 train_error:984001430.39303184 test_error:61633565.17505141
iter:46  diff:0.00454761 train_error:981413076.17399347 test_error:61474263.49946027
iter:47  diff:0.00406620 train_error:979014953.54483867 test_error:61327452.25841811
iter:48  diff:0.00362285 train_error:976792175.68378723 test_error:61192162.71588392
iter:49  diff:0.00321925 train_error:974733268.57067227 test_error:61067590.17814660
iter:50  diff:0.00285536 train_error:972829120.54519057 test_error:60953051.61510418
iter:51  diff:0.00252957 train_error:971071930.16744053 test_error:60847939.38962644
iter:52  diff:0.00223914 train_error:969454373.82818675 test_error:60751682.87009943
iter:53  diff:0.00198087 train_error:967969082.22233927 test_error:60663723.54775599
iter:54  diff:0.00175146 train_error:966608408.38608694 test_error:60583503.76734541
iter:55  diff:0.00154778 train_error:965364412.93319750 test_error:60510465.91676813
iter:56  diff:0.00136705 train_error:964228978.61764896 test_error:60444057.90902679
iter:57  diff:0.00120676 train_error:963193979.30475497 test_error:60383741.24859767
iter:58  diff:0.00106472 train_error:962251451.40762019 test_error:60328999.06353967
iter:59  diff:0.00093896 train_error:961393738.41850340 test_error:60279342.62027714
iter:60  diff:0.00082774 train_error:960613596.53835094 test_error:60234315.73576748
iter:61  diff:0.00072948 train_error:959904260.60580826 test_error:60193497.08823267
iter:62  diff:0.00064278 train_error:959259475.59090257 test_error:60156500.74143551
iter:63  diff:0.00056636 train_error:958673501.27618921 test_error:60122975.31622107
iter:64  diff:0.00049908 train_error:958141097.88645518 test_error:60092602.24257793
iter:65  diff:0.00043989 train_error:957657499.47968924 test_error:60065093.46350845
iter:66  diff:0.00038788 train_error:957218380.43745589 test_error:60040188.87963764
iter:67  diff:0.00034221 train_error:956819818.99505448 test_error:60017653.74012537
iter:68  diff:0.00030215 train_error:956458260.50588548 test_error:59997276.11639886
iter:69  diff:0.00026702 train_error:956130482.11475897 test_error:59978864.53858014
iter:70  diff:0.00023623 train_error:955833559.83147228 test_error:59962245.83578157
iter:71  diff:0.00020927 train_error:955564838.42886186 test_error:59947263.19346562
iter:72  diff:0.00018567 train_error:955321904.30887902 test_error:59933774.42389253
iter:73  diff:0.00016501 train_error:955102561.23125458 test_error:59921650.43593185
iter:74  diff:0.00014693 train_error:954904808.71380615 test_error:59910773.88553368
iter:75  diff:0.00013111 train_error:954726822.84870172 test_error:59901037.98645303
iter:76  diff:0.00011727 train_error:954566939.26382530 test_error:59892345.46128093
iter:77  diff:0.00010516 train_error:954423637.97817612 test_error:59884607.61437989
iter:78  diff:0.00009456 train_error:954295529.90449500 test_error:59877743.51011471
iter:79  diff:0.00008528 train_error:954181344.79448664 test_error:59871679.24220002
iter:80  diff:0.00007714 train_error:954079920.44157004 test_error:59866347.28176802
iter:81  diff:0.00007002 train_error:953990192.98376155 test_error:59861685.89372110
iter:82  diff:0.00006377 train_error:953911188.16385174 test_error:59857638.61263925
iter:83  diff:0.00005828 train_error:953842013.44324017 test_error:59854153.77094776
iter:84  diff:0.00005346 train_error:953781850.86328125 test_error:59851184.07270542
iter:85  diff:0.00004922 train_error:953729950.57346344 test_error:59848686.20833414
iter:86  diff:0.00004548 train_error:953685624.95428002 test_error:59846620.50512598
iter:87  diff:0.00004219 train_error:953648243.27359855 test_error:59844950.61027651
iter:88  diff:0.00003928 train_error:953617226.82291782 test_error:59843643.20274435
iter:89  diff:0.00003671 train_error:953592044.48086667 test_error:59842667.73107976
iter:90  diff:0.00003443 train_error:953572208.68003392 test_error:59841996.17492384
iter:91  diff:0.00003241 train_error:953557271.71033645 test_error:59841602.82764468
iter:92  diff:0.00003061 train_error:953546822.36371064 test_error:59841464.09831434
iter:93  diff:0.00002901 train_error:953540482.85819256 test_error:59841558.33119176
iter:94  diff:0.00002758 train_error:953537906.03067446 test_error:59841865.64115457
iter:95  diff:0.00002631 train_error:953538772.77958214 test_error:59842367.76344924
iter:96  diff:0.00002516 train_error:953542789.72164464 test_error:59843047.91683983
iter:97  diff:0.00002413 train_error:953549687.04939711 test_error:59843890.67862285
iter:98  diff:0.00002320 train_error:953559216.58387387 test_error:59844881.87052940
iter:99  diff:0.00002236 train_error:953571149.98035204 test_error:59846008.45470858
iter:100  diff:0.00002160 train_error:953585277.09873772 test_error:59847258.43864419
iter:101  diff:0.00002092 train_error:953601404.50685823 test_error:59848620.78844707
iter:102  diff:0.00002029 train_error:953619354.11768556 test_error:59850085.34958906
iter:103  diff:0.00001972 train_error:953638961.93565571 test_error:59851642.77456018
iter:104  diff:0.00001919 train_error:953660076.91577005 test_error:59853284.45666821
iter:105  diff:0.00001871 train_error:953682559.91365421 test_error:59855002.46964630
iter:106  diff:0.00001827 train_error:953706282.73178077 test_error:59856789.51235259
iter:107  diff:0.00001786 train_error:953731127.23644030 test_error:59858638.85823594
iter:108  diff:0.00001749 train_error:953756984.55763519 test_error:59860544.30911066
iter:109  diff:0.00001714 train_error:953783754.35100198 test_error:59862500.15276574
iter:110  diff:0.00001682 train_error:953811344.12144554 test_error:59864501.12428904
iter:111  diff:0.00001651 train_error:953839668.60369813 test_error:59866542.37052587
iter:112  diff:0.00001623 train_error:953868649.19686174 test_error:59868619.41753387
iter:113  diff:0.00001597 train_error:953898213.43936467 test_error:59870728.14079159
iter:114  diff:0.00001572 train_error:953928294.52948356 test_error:59872864.73779895
iter:115  diff:0.00001549 train_error:953958830.88995218 test_error:59875025.70301034
iter:116  diff:0.00001527 train_error:953989765.75986993 test_error:59877207.80479482
iter:117  diff:0.00001506 train_error:954021046.82407236 test_error:59879408.06419028
iter:118  diff:0.00001487 train_error:954052625.87211478 test_error:59881623.73551900
iter:119  diff:0.00001468 train_error:954084458.48190629 test_error:59883852.28850864
iter:120  diff:0.00001451 train_error:954116503.73397171 test_error:59886091.39178356
iter:121  diff:0.00001434 train_error:954148723.94038367 test_error:59888338.89772200
iter:122  diff:0.00001418 train_error:954181084.40212667 test_error:59890592.82857154
iter:123  diff:0.00001403 train_error:954213553.18368626 test_error:59892851.36357321
iter:124  diff:0.00001388 train_error:954246100.90045440 test_error:59895112.82711007
iter:125  diff:0.00001374 train_error:954278700.53129554 test_error:59897375.67781721
iter:126  diff:0.00001361 train_error:954311327.23652220 test_error:59899638.49849472
iter:127  diff:0.00001348 train_error:954343958.19798517 test_error:59901899.98686419
iter:128  diff:0.00001335 train_error:954376572.46413004 test_error:59904158.94690111
iter:129  diff:0.00001323 train_error:954409150.81381023 test_error:59906414.28103741
iter:130  diff:0.00001312 train_error:954441675.62515759 test_error:59908664.98274627
iter:131  diff:0.00001300 train_error:954474130.75540972 test_error:59910910.12982131
iter:132  diff:0.00001289 train_error:954506501.43200135 test_error:59913148.87813022
iter:133  diff:0.00001279 train_error:954538774.15196145 test_error:59915380.45580603
iter:134  diff:0.00001269 train_error:954570936.58430755 test_error:59917604.15790854
iter:135  diff:0.00001259 train_error:954602977.48529303 test_error:59919819.34148306
iter:136  diff:0.00001249 train_error:954634886.61486852 test_error:59922025.42097855
iter:137  diff:0.00001240 train_error:954666654.66522241 test_error:59924221.86397406
iter:138  diff:0.00001231 train_error:954698273.18888927 test_error:59926408.18724938
iter:139  diff:0.00001222 train_error:954729734.53578460 test_error:59928583.95318333
iter:140  diff:0.00001213 train_error:954761031.79388356 test_error:59930748.76636316
iter:141  diff:0.00001205 train_error:954792158.73326552 test_error:59932902.27042656
iter:142  diff:0.00001196 train_error:954823109.75543809 test_error:59935044.14515550
iter:143  diff:0.00001188 train_error:954853879.84610963 test_error:59937174.10383409
iter:144  diff:0.00001180 train_error:954884464.53119016 test_error:59939291.89076868
iter:145  diff:0.00001172 train_error:954914859.83569705 test_error:59941397.27884837
iter:146  diff:0.00001165 train_error:954945062.24738038 test_error:59943490.06755663
iter:147  diff:0.00001157 train_error:954975068.68097079 test_error:59945570.08086939
iter:148  diff:0.00001150 train_error:955004876.44558656 test_error:59947637.16544900
iter:149  diff:0.00001143 train_error:955034483.21297145 test_error:59949691.18895888
iter:150  diff:0.00001136 train_error:955063886.99476945 test_error:59951732.03838114
iter:151  diff:0.00001129 train_error:955093086.11027229 test_error:59953759.61862395
iter:152  diff:0.00001122 train_error:955122079.16620564 test_error:59955773.85115547
iter:153  diff:0.00001115 train_error:955150865.03469193 test_error:59957774.67263621
iter:154  diff:0.00001108 train_error:955179442.82866383 test_error:59959762.03383947
iter:155  diff:0.00001102 train_error:955207811.88960624 test_error:59961735.89849243
iter:156  diff:0.00001095 train_error:955235971.76276612 test_error:59963696.24230948
iter:157  diff:0.00001089 train_error:955263922.18383968 test_error:59965643.05197027
iter:158  diff:0.00001083 train_error:955291663.06339335 test_error:59967576.32434483
iter:159  diff:0.00001077 train_error:955319194.47457659 test_error:59969496.06555735
iter:160  diff:0.00001071 train_error:955346516.63529086 test_error:59971402.29034817
iter:161  diff:0.00001065 train_error:955373629.89947426 test_error:59973295.02130921
iter:162  diff:0.00001059 train_error:955400534.74621308 test_error:59975174.28822570
iter:163  diff:0.00001053 train_error:955427231.76697266 test_error:59977040.12750021
iter:164  diff:0.00001047 train_error:955453721.65615082 test_error:59978892.58156709
iter:165  diff:0.00001041 train_error:955480005.20555520 test_error:59980731.69842356
iter:166  diff:0.00001036 train_error:955506083.28888202 test_error:59982557.53105740
iter:167  diff:0.00001030 train_error:955531956.86238444 test_error:59984370.13710520
iter:168  diff:0.00001025 train_error:955557626.95090485 test_error:59986169.57834652
iter:169  diff:0.00001019 train_error:955583094.64550841 test_error:59987955.92034855
iter:170  diff:0.00001014 train_error:955608361.09380269 test_error:59989729.23216096
iter:171  diff:0.00001008 train_error:955633427.49901700 test_error:59991489.58590529
iter:172  diff:0.00001003 train_error:955658295.10833740 test_error:59993237.05647914
 Iter  FuncEvals       F(X)          ||G(X)||/N        
------ --------- ---------------- ----------------
     0         1   73277.06369286       0.00489329
     1         7   73169.80824669       0.75476963
     2        18   73168.72142544       0.82710340
     3        27   72869.01168990       2.07933617
     4        37   72758.53783144       2.69941626
     5        46   71187.08243933       4.54677662
     6        56   68912.14138742       5.99211545
     7        65   59971.54329948       6.53187470
     8        73   43096.85065220       4.94589936
     9        81   35836.98808055       4.17965814
    10        89   28124.18722466       3.74181093
    11        97   22403.24172560       3.30651406
    12       105   19270.90324981       3.79100027
    13       112   16057.11652614       1.65182630
    14       119   14974.91587348       1.34328065
    15       126   14365.30986699       1.40968801
    16       133   13990.45321228       0.96330052
    17       140   13588.28643390       0.62414647
    18       146   13394.61399117       0.64280633
    19       152   13149.71197424       0.62325545
    20       159   13015.73191581       0.80217267
    21       165   12933.85692200       0.45212463
    22       171   12864.78265804       0.64842762
    23       178   12797.35710919       0.47312795
    24       184   12637.30511918       0.71806071
    25       191   12367.33884781       0.89532257
    26       199   12247.10163082       0.42230612
    27       205   12163.78668688       0.31422533
    28       211   12085.03501397       0.35701398
    29       217   12028.62307830       0.40973788
    30       223   11984.51585901       0.36272740
    31       230   11881.53982628       0.39694826
    32       237   11770.66182953       0.37127221
    33       244   11649.92609522       0.41806672
    34       251   11581.18543208       0.42803865
    35       257   11537.32698049       0.27984118
    36       263   11459.11209251       0.32982087
    37       269   11405.33134734       0.40595041
    38       276   11352.97104804       0.34124904
    39       282   11267.96679679       0.35276909
    40       289   11192.69100249       0.42845691
    41       295   11161.68485259       0.28340330
    42       301   11123.83708082       0.39261253
    43       307   11093.43748200       0.29636858
    44       313   11051.60190049       0.24706783
    45       319   11017.77510962       0.32093492
    46       326   10994.20430851       0.22547707
    47       332   10961.37560099       0.27608603
    48       338   10920.13333414       0.41203906
    49       345   10870.77189955       0.31816302
    50       352   10774.60717881       0.44397452
    51       359   10736.85649142       0.32765155
    52       366   10676.78574820       0.28681053
    53       372   10622.87069672       0.45699052
    54       379   10576.25732782       0.27790127
    55       386   10523.38210162       0.29580255
    56       392   10480.78397102       0.40775056
    57       399   10432.19646998       0.35179881
    58       406   10363.62529859       0.27390800
    59       412   10320.52945869       0.34734689
    60       419   10288.60714255       0.33126293
    61       425   10267.43463560       0.23718311
    62       430   10247.86009153       0.23227659
    63       435   10183.13857982       0.31326539
    64       441   10146.70571168       0.30835196
    65       447   10121.39342729       0.22239481
    66       453   10092.18315914       0.21552955
    67       458   10055.37170182       0.31694822
    68       464   10030.80200058       0.22548439
    69       470    9992.86502640       0.24535037
    70       476    9955.25444702       0.30518605
    71       483    9930.31081465       0.22570014
    72       489    9903.01918201       0.20802239
    73       495    9874.72738059       0.23769481
    74       501    9856.96324778       0.23560320
    75       508    9817.49609491       0.26754168
    76       515    9771.51220457       0.24506217
    77       522    9754.07552256       0.23988009
    78       528    9712.29987498       0.23080689
    79       535    9683.06272945       0.24152165
    80       541    9662.74362240       0.23682721
    81       546    9651.29275689       0.16940776
    82       551    9637.40577015       0.16127117
    83       556    9610.85076054       0.18355536
    84       562    9596.02477948       0.21164212
    85       568    9580.05866330       0.17061152
    86       574    9563.38035327       0.13810691
    87       580    9549.03744481       0.18169939
    88       586    9539.86648996       0.15020529
    89       592    9525.12502357       0.13062679
    90       598    9506.09160842       0.21227426
    91       604    9495.28626125       0.14308488
    92       610    9482.14482300       0.13123128
    93       616    9468.93312429       0.16929304
    94       622    9460.27828683       0.15745333
    95       628    9443.64158713       0.16926085
    96       634    9422.22758634       0.19701093
    97       641    9405.59564516       0.23443489
    98       647    9385.66945015       0.16217181
    99       654    9354.78264662       0.21887098
   100       660    9332.46432287       0.26872758
   101       666    9320.85632289       0.15487959
   102       671    9308.47905309       0.21926110
   103       677    9299.27034053       0.15008461
   104       682    9283.56488908       0.14191672
   105       687    9271.28845280       0.20902000
   106       693    9259.78186741       0.13316601
   107       698    9248.34012979       0.14863617
   108       704    9236.64822573       0.19201184
   109       710    9226.15093463       0.15137008
   110       715    9204.25347120       0.17837820
   111       721    9190.80981047       0.22621550
   112       727    9173.07127506       0.15218438
   113       733    9150.36210016       0.19847687
   114       739    9137.37923219       0.21112020
   115       746    9115.81040231       0.16553558
   116       753    9089.60085280       0.20238610
   117       760    9078.20623996       0.19038290
   118       767    9054.50732765       0.16984326
   119       774    9030.18672359       0.21663176
   120       781    9016.08834426       0.21023057
   121       786    9006.18432551       0.15478388
   122       791    8994.84113538       0.15055573
   123       796    8968.91149637       0.15882326
   124       802    8956.39749708       0.18262889
   125       807    8946.00288969       0.13595069
   126       813    8925.38143411       0.15348342
   127       819    8913.00693150       0.16177967
   128       825    8904.08756926       0.16170783
   129       830    8883.92191683       0.13880977
   130       836    8869.67255824       0.15871439
   131       842    8859.44079904       0.17343164
   132       848    8847.73973756       0.13982990
   133       854    8835.44380302       0.12497064
   134       860    8823.85113802       0.14888660
   135       866    8816.92303611       0.14637871
   136       872    8803.67203321       0.14275804
   137       878    8788.53205357       0.14746380
   138       884    8774.86210752       0.23056378
   139       891    8756.62716312       0.15048537
   140       897    8739.39956751       0.15513741
   141       902    8731.27865080       0.12708797
   142       907    8725.97928416       0.13418941
   143       912    8713.18448455       0.11310577
   144       917    8703.83972050       0.12275784
   145       922    8693.73828902       0.10075995
   146       927    8688.22122521       0.12406390
   147       933    8682.85589114       0.12016940
   148       938    8675.89727072       0.09278208
   149       943    8666.03870302       0.10231083
   150       949    8658.42569837       0.11329270
   151       955    8650.48591359       0.17420533
   152       961    8640.11640599       0.11290423
   153       966    8632.94014239       0.08567808
